"area","rate"
"01 Altstadt - Lehel","2.3"
"02 Ludwigsvorstadt - Isarvorstadt","3.5"
"03 Maxvorstadt","2.7"
"04 Schwabing - West","2.8"
"05 Au - Haidhausen","2.9"
"06 Sendling","4.2"
"07 Sendling - Westpark","4.4"
"08 Schwanthalerhöhe","4.1"
"09 Neuhausen - Nymphenburg","3.1"
"10 Moosach","4.8"
"11 Milbertshofen - Am Hart","5"
"12 Schwabing - Freimann","3.2"
"13 Bogenhausen","2.8"
"14 Berg am Laim","4.6"
"15 Trudering - Riem","3.2"
"16 Ramersdorf - Perlach","4.8"
"17 Obergiesing - Fasangarten","3.9"
"18 Untergiesing - Harlaching","3.8"
"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","3.4"
"20 Hadern","3.5"
"21 Pasing - Obermenzing","3.5"
"22 Aubing - Lochhausen - Langwied","3.7"
"23 Allach - Untermenzing","3.3"
"24 Feldmoching - Hasenbergl","4.7"
"25 Laim","3.8"
"Stadt München","3.7"
